AI; Seth
Band of Fools Redux; Arthail Consumer of Food, Byllemura Ruby-Eye, Eldon Spark Turen, Jori-En Blurred, Kalathos Sunstrider, Squee
Barbarian; Arthail Consumer of Food, Drax the Destroyer, Halfborn Gunderson, IKCFAMWSIIF, Tong
Bard; Dorothea, Glynnric Manassnass, Kareem Par-Al
Bat-Family; Alfred Pennyworth, Barbara Gordon, Batman, Damian Wayne, Dick Grayson, Jason Todd, Tim Drake
Bat-Themed Hero; Barbara Gordon, Batman
Battlesmith; Byllemura Ruby-Eye, Eldon Spark Turen, Lorana Ritten
Beautiful; Isabela Madrigal
Beauxbatons; Fleur Delacour
Bender; Aang, Azula, Iroh, Korra, Ozai, Toph Beifong, Zuko
Berserker; Arthail Consumer of Food, Drax the Destroyer, Halfborn Gunderson, Tong
Best Friends Squad; Adora, Bow, Catra, Glimmer
Big; Asgore, Bismuth, Garnet, Hulk, Raphael
Big Three (Marvel); Captain America, Iron Man, Thor
Bioluminescent; Tamatoa
Bipolar; Hank Pym
Bird-Themed; Angel, Big Bird, Black Canary, Damian Wayne, Dick Grayson, Falcon, Hawkgirl, Jason Todd, Tim Drake
Birds of Prey; Barbara Gordon, Black Canary
Black Eagles (Fire Emblem); Bernadetta, Byleth, Caspar, Dorothea, Edelgard, Ferdinand, Hubert, Linhardt, Petra (Fire Emblem)
Black Order; Thanos
Blacksmith; Bismuth, Blitzen
Blind; Akkar, Toph Beifong
Blood of Pharaohs; Carter Kane, Sadie Kane, Walt Stone, Zia Rashid
Blue; Lapis Lazuli, Long Jim, Nebula, Sapphire
Blue Lions (Fire Emblem); Annette, Ashe, Byleth, Dimitri, Felix, Ingrid, Mercedes, Sylvain
Body-Swapped; Psylocke
Bodyguard; Dedue, Ruby
Boisterous; Alois, Amethyst, Caspar, Ferdinand
Bomb; Bobby
Bone; Fone Bone, Phoney Bone, Smiley Bone
Boomerang; Captain Boomerang, Sokka
Bounty Hunter; Boba Fett, Greef Karga, IG-11, Jango Fett, The Mandalorian
Brainwashed; Black Widow, Bucky Barnes
Britain-Themed; Captain Britain
Brooding; Batman, Damian Wayne, Felix, Hubert
Buff; Caspar, Garnet, Luisa Madrigal, Raphael, Undyne
Bullied; Mirabel Madrigal
Bully; Buford Van Stomm
Bureaucrat; Jori-En Blurred, Squee
Camp Half-Blood; Annabeth Chase, Jason Grace, Leo Valdez, Percy Jackson, Piper McLean
Camp Jupiter; Frank Zhang, Hazel Levesque, Jason Grace, Percy Jackson
Canadian; Aurora, Northstar, Wolverine
Captain; Captain Ahab, Captain America, Captain Britain, Captain John H. Miller, Captain Kirk, Captain Nemo
Captain America; Bucky Barnes, Captain America, Falcon
Captain Britain; Captain Britain
Cat-Themed; Black Panther, Blake Belladonna, Catra
Catchphrase; Groot, Kuiil, The Human Torch, The Thing
Celestial; Dr. Samuel Hayden, Ego, Rosalina
Chainsaw; Blake Belladonna
Champion; Ash Ketchum, Blue, Red (Pokemon)
Champions (Team); Amadeus Cho, Miles Morales, Ms. Marvel, Sam Alexander, Viv Vision, Young Cyclops
Chaos Magic; Scarlet Witch
Charismatic; Captain America, Cyclops, Garrik Doriana, Rikk, Rumy, Steven Universe, Yekkon Shmekkon
Charm Powers; Piper McLean
Cheerful; Alois, Alyx, Anna, Ash Ketchum, Felix Madrigal, Mabel Pines, Miss Martian, Raphael, Rose Tico, Steven Universe, Ty Lee
Chef; Boun, Brock, Julieta Madrigal, Mercedes, Papyrus
Child; Anthonio Madrigal, Austin, Big Bird, Boun, Connie Maheswaran, Flayn, Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Frisk, Jem Finch, Noi, Olaf, Scout Finch, Steven Universe, Terrence the Baby Tarrasque, The Child
Child Soldier; Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Steven Universe, Terrence the Baby Tarrasque
Child of Villain and Hero; Damian Wayne
Childhood Friends; Annette|Mercedes, Dimitri|Sylvain, Dimitri|Ingrid, Dimitri|Felix, Felix|Sylvain, Felix|Dimitri, Felix|Ingrid, Ingrid|Sylvain, Ingrid|Felix, Ingrid|Dimitri, Mercedes|Annette, Sylvain|Ingrid, Sylvain|Felix, Sylvain|Dimitri
Chosen One; Adora, Aloy, Bard the Bowman, Blake Belladonna, Byleth, Frank Zhang, Gordon Freeman, Harry Potter, Hazel Levesque, Jason Grace, Mirabel Madrigal, Moana, Percy Jackson, Phoney Bone, Piper McLean, Ruby Rose, Steven Universe, Thorn Harvestar, Zia Rashid
Chronomancer; Squee
Church; Flayn, Rhea, Seteth
Circus Performer; Ty Lee
Civil War; Thomas Jefferson Jr.
Classic Literature Character; Abraham Van Helsing, Arthur Holmwood, Captain Ahab, Cowardly Lion, Dorothy Gale, Dracula, John Seward, Jonathan Harker, Mina Harker, Quincey Morris, Scarecrow (Oz), Tin Woodman
Claws; Wolverine
Cleric; Flayn, Linhardt, Mercedes, Rhea, Seteth
Clerk; Jonathan Harker
Clone; Aloy, Bentley-23, Boba Fett
Comedically Invulnerable; Beaker
Comedically Terrible Person; IKCFAMWSIIF, Yekkon Shmekkon
Commander; Anakin Skywalker, Brimstone, Count Dooku, Darth Maul, Darth Vader, General Grievous, Grand Moff Tarkin, Guile, Mace Windu, Moff Gideon, Obi-Wan Kenobi, Sheev Palpatine, Snoke, Undyne
Con Artist; Dyan, Extortionist Hobo, Fuzzy, Garrik Doriana, Grunkle Stan, Noi, Pan, Phoney Bone, Stanford Pines, Uka, Wizard of Oz
Confederacy of Independent Systems; Count Dooku, Darth Maul, General Grievous
Contributor; Colin Frazer, Ethan Chou, Harrison Truscott, Sebastian Polge, Vikram Kommareddi, Zach Wiebe
Cool; Garnet, Sapphire, Weiss Schnee
Corrupted; Deag Grav, Deag Nilox, Deag Ragnak, Khan Makyr, Te Ka
Cosmic; Alexander Luthor Jr., Anti-Monitor, Carol Danvers, Harbringer, Kal-L, Loki, Monica Rambeau, Rosalina, Supergirl, Superman, Thor
Cosmic Historian; Harbringer
Country-Themed; Captain America, Captain Britain
Cousin; Fone Bone|Smiley Bone, Fone Bone|Phoney Bone, Phoney Bone|Fone Bone, Phoney Bone|Smiley Bone, Smiley Bone|Fone Bone, Smiley Bone|Phoney Bone
Cowardly; Cowardly Lion
Cowboy; Applejack, Quincey Morris
Crab; Tamatoa
Creator; Alan Wake, Sebastian Polge
Crest; Annette, Bernadetta, Byleth, Claude, Dimitri, Felix, Ferdinand, Flayn, Hilda, Hilda, Ingrid, Linhardt, Lorenz, Lysithea, Marianne, Mercedes, Rhea, Seteth, Sothis, Sylvain
Crime Lord; Boba Fett, Jabba the Hutt, M. Bison
Criminal; Boba Fett, Chewbacca, Drax the Destroyer, Fuzzy, Gamora, Greef Karga, Groot, Grunkle Stan, Han Solo (Old), Han Solo, IG-11, Jabba the Hutt, James Moriarty, Jango Fett, Lando Calrissian, M. Bison, Nebula, Noi, Pan, Rocket Raccoon, Seth, Stanford Pines, Star-Lord, Tong, Uka, Yondu
Crossbow; Chewbacca
Cryptid Hunter; Dipper Pines, Mabel Pines, Stanford Pines
Crystal Gem; Amethyst (Steven Universe), Bismuth, Connie Maheswaran, Garnet, Lapis Lazuli, Pearl, Peridot, Ruby, Sapphire, Steven Universe
Crystal Powers; Amethyst
Crystals; Amethyst, Emily
Cursed; Bruno Madrigal, Lysithea, Marianne, Maui, Pariah
Cyborg; Breach, Cyborg, Nebula, Yondu
D&D; Akkar, Alice Daerdahk, Arrolys Larskano, Arthail Consumer of Food, Arthas Menethil, Byllemura Ruby-Eye, Eldon Spark Turen, Fedora Turthin, Garrik Doriana, Glynnric Manassnass, IKCFAMWSIIF, Jori-En Blurred, Kalathos Sunstrider, Kareem Par-Al, Lorana Ritten, Nahara, Reithen Keiros, Ruby Rider, Squee, Terrence the Baby Tarrasque, Yekkon Shmalakis, Yekkon Shmekkon, Zulen Kal-Thim
Damsel in Distress; Princess Daisy, Princess Peach
Deaf; Hearthstone
Death Eater; Lord Voldemort
Death Knight; Arthas Menethil
Defect; Amethyst (Steven Universe), Peridot
Deity; Sothis
Demigod; Alex Fierro, Annabeth Chase, Atreus, Blitzen, Byleth, Flayn, Frank Zhang, Hazel Levesque, Jason Grace, Kratos, Leo Valdez, Magnus Chase, Mallory Keen, Maui, Percy Jackson, Piper McLean, Rhea, Samirah al-Abbas, Seteth, Thomas Jefferson Jr.
Demon; Bill Cipher, Deag Grav, Deag Grav, Deag Nilox, Deag Nilox, Deag Ragnak, Deag Ragnak, Khan Makyr, Khan Makyr, Te Ka
Demon Scourge; Doomslayer
Demonic; Deag Grav, Deag Nilox, Deag Ragnak, Khan Makyr, Nightcrawler
Density-Powers; Vision, Viv Vision
Depowered; Glynnric Manassnass, Rita Vrataski
Destroyer; Drax the Destroyer
Detachable Body Parts; Olaf
Detatched from World; Anton Chigurh, Sherlock Holmes, Sniper
Detective; Adrian Monk, Amy Ferrier, Batman, Dipper Pines, Inspector Lestrade, Martian Manhunter, Mycroft Holmes, Sherlock Holmes, Stanford Pines
Determination; Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Hal Jordan, John Stewart
Devil Fruit; Brook
Dhampir; Alucard
Diplomat; Jar Jar Binks, Leia Organa (Old), Leia Organa, Padme Amidala
Director; Bruce Ng
Disguise; Camilo Madrigal, Kronya
Disney Princess; Anna, Elsa, Mirabel Madrigal, Moana
Doctor; Dr. Loomis, Dr. Samuel Hayden, Harvey
Dog; Isabelle
Don't Starve; Maxwell
Door Monster; Extortionist Hobo, LeBron
Dragon; Flayn, Rhea, Seteth, Sisu, Smaug
Dragon Rider; Arya, Brom, Claude, Seteth
Dragonborn; Arthail Consumer of Food, Nahara
Dragonslayer; Bard the Bowman|Smaug, Byleth|Rhea, Edelgard|Rhea
Dream Powers; Alice Johnson, Gran'ma Ben, Steven Universe, Thorn Harvestar
Droids; BB-8, C3PO, R2-D2, Vision, Viv Vision
Drug Addict; Sherlock Holmes
Dumbledore's Army; Ginny Weasley, Harry Potter, Hermione Granger, Ron Weasley
Duo; Banjo|Kazooie, Beaker|Dr. Bunsen Honeydew, Bert|Ernie, Blitzen|Hearthstone, Blue Stupid Rat Creature|Brown Stupid Rat Creature, Blue|Red (Pokemon), Booster Gold|Ted Kord, Brown Stupid Rat Creature|Blue Stupid Rat Creature, Bucky Barnes|Captain America, C3PO|R2-D2, Chewbacca|Han Solo, Dapper Cyclops|Long Jim, Doomslayer|Isabelle, Dr. Bunsen Honeydew|Beaker, Ernie|Ernie, Extortionist Hobo|LeBron, Fuzzy|Sam (Sam and Fuzzy), Groot|Rocket Raccoon, Han Solo (Old)|Chewbacca, Han Solo|Chewbacca, Hearthstone|Blitzen, Heavy|Medic, Ignatz|Raphael, Isabelle|Doomslayer, John Watson|Sherlock Holmes, Kazooie|Banjo, Kristoff|Sven, LeBron|Extortionist Hobo, Long Jim|The Dapper Cyclops, Luigi|Mario, Mario|Luigi, Maui|Moana, Medic|Heavy, Moana|Maui, R2-D2|C3PO, Raphael|Ignatz, Red (Pokemon)|Blue, Rocket Raccoon|Groot, Ruby|Sapphire, Sam (Sam and Fuzzy)|Fuzzy, Sapphire|Ruby, Sherlock Holmes|John Watson, Sven|Kristoff, Ted Kord|Booster Gold
Dwarf; Blitzen
Early Sacrifice; John Proudstar
Earth Bender; Aang, Bolin, Korra, Toph Beifong
Earth Powers; Aang, Bolin, Hazel Levesque, Korra, Toph Beifong
Earth-16010; Miles Morales
Earth-2; Alan Scott, Hippolyta, Jay Garrick, Kal-L
Earth-295; Blink
Earth-3; Alexander Luthor Jr.
Earth-Prime; Superboy Prime
Edgy; Aphelios, Batman, Felix, Hubert, Zuko, Zulen Kal-Thim
Egomaniac; Mettaton, Papyrus, Phoney Bone
Egyptian Gods; Amos Kane, Carter Kane, Sadie Kane, Walt Stone, Zia Rashid
Einharjar; Alex Fierro, Halfborn Gunderson, Magnus Chase, Mallory Keen, Thomas Jefferson Jr.
Elderly; Abuela Alma Madrigal
Electric Mayhem (Muppets); Animal
Elemental; Elsa, Ruby Rider
Elf; Akkar, Hearthstone, Kalathos Sunstrider
Emo; Aphelios, Felix, Hubert, Sebastian, Zuko, Zulen Kal-Thim
Emotional Spectrum; Hal Jordan, John Stewart
Empath; Mantis
Emperor(ess); Edelgard, Ozai, Sam (Sam and Fuzzy), Sheev Palpatine, Snoke, Zuko
Energy Form; Monica Rambeau
Engineer; Audrey Ramirez, Bill Kerman, Engineer
Espionage; Black Widow, Spy, The Invisible Woman
Estate Agent; Jonathan Harker
Estranged; Bruno Madrigal
Evil Priest; Deag Grav, Deag Nilox, Deag Ragnak, Khan Makyr
Evil Ruler; Asgore, Bowser, Khan Makyr, Ozai, Sheev Palpatine
Ex; Asgore|Toriel, Han Solo (Old)|Leia Organa, Leia Organa (Old)|Han Solo, Toriel|Asgore
Exile; Amethyst (Steven Universe), Aragorn, Araithia Shokta, Azula, Bismuth, Boromir, Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Garnet, Gran'ma Ben, Iroh, Lapis Lazuli, Padme Amidala, Pariah, Pearl, Peridot, Raya, The Mandalorian, Thorn Harvestar, Tong, Toriel, Zuko
Exiled Royalty; Gran'ma Ben, Padme Amidala, Thorn Harvestar
Exiles (Team); Blink, Iron Lad
Explorer; Captain Kirk
Explosion Happy; Demoman, Dr. Bunsen Honeydew, Rocket Raccoon
Eye Powers; Cyclops
Eye of Anibus; Walt Stone
Eye of Horus; Carter Kane
Eye of Isis; Sadie Kane
Eye of Ra; Zia Rashid
Eye of Set; Amos Kane
Face Paint; Suki
Fallen Paladin; Arthas Menethil
Fancy; Dapper Cyclops
Fans (Weapon); Suki
Fantastic Four; Bentley-23, Black Panther, Mr. Fantastic, Spider-Man, The Human Torch, The Invisible Woman, The Thing
Farmer; Applejack, Dorothy Gale
Fashionista; Brook, Dapper Cyclops, Hilda
Father; Brom, Darth Vader, Han Solo (Old), Han Solo, Ken
Federal Agent; Allison Blake
Fellowship of the Ring; Aragorn, Boromir
Fey; Abby Cadabby, Glinda the Good Witch
Fiance; Jonathan Harker|Mina Harker, Mina Harker|Jonathan Harker
Fighter; Alice Daerdahk, Chun-Li, Fedora Turthin, M. Bison, Ruby, Ryu
Fighter-Princess; Namaari, Petra (Fire Emblem)
Fire Being; Smaug, Te Ka
Fire Bender; Aang, Azula, Iroh, Korra, Ozai, Zuko
Fire Lord; Ozai, Zuko
Fire Powers; Aang, Azula, Blaze the Cat, Captain Falcon, Iroh, Korra, Leo Valdez, Ozai, Pyro, Ruby, Sunfire, The Human Torch, Zuko
First Order; Captain Phasma, Kylo Ren, Snoke
Fisherman; Alois, Big the Cat, Byleth, Seteth
Flaming; Leo Valdez, Ruby, Sunfire, The Human Torch
Floor 19; Alex Fierro, Halfborn Gunderson, Magnus Chase, Mallory Keen, Thomas Jefferson Jr.
Flower; Flowey
Football; Alex
Force Fields; Steven Universe, The Invisible Woman
Force Sensitive; Ahsoka Tano, Anakin Skywalker (Young), Anakin Skywalker, Cal Kestis, Leia Organa (Old), Leia Organa, Luke Skywalker, Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, Rey, The Child, Yoda
Foreign; Dedue, Petra (Fire Emblem)
Forgotten Hero; Blue Marvel
Former Criminal; Scott Lang
Former Human; Drax the Destroyer
Former Immortal; Calypso
Former Slave; Kuiil, Pearl
Fourth-Wall Breaking; Flowey, Sans
Freckles; Ashe, Mallory Keen
Frenemy; Baljeet Tjinder|Buford Van Stomm, Buford Van Stomm|Baljeet Tjinder
Frog; Yekkon Shmekkon
Frozen in Ice; Aang, Bucky Barnes, Captain America
Furred; Asgore, Beast, Toriel
Fusion; Garnet
Future Child; Bart Allen
Future Foundation; Bentley-23
Future Sight; Agatha, Anna Croft, Bruno Madrigal, Psylocke, Sapphire
Future Tech; Amy Ferrier, Booster Gold, Brainiac 5
GCPD; Jim Gordon
Galactic Empire; Darth Vader, Grand Moff Tarkin, Moff Gideon, Sheev Palpatine
Galactic Republic (Star Wars); Anakin Skywalker, C3PO, Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, R2-D2, Yoda
Gameshow Host; Mettaton
Gamma; Amadeus Cho, Hulk
Gauntlets; Garnet, Raphael
Geek/Nerd; Alphys, Amazi-Girl, Baljeet Tjinder, Peridot, Rikk, Rumy
Gem; Amethyst (Steven Universe), Bismuth, Garnet, Lapis Lazuli, Pearl, Peridot, Ruby, Sapphire
Genderfluid; Alex Fierro
General; General Grievous, Han Solo, Lando Calrissian, Leia Organa, Luke Skywalker, Ronan the Accuser
Genius; Adrian Monk, Alphys, Amadeus Cho, Amy Cahill, Annabeth Chase, Arrolys Larskano, Asami Sato, Atomic Robo, Audrey Ramirez, Baljeet Tjinder, Barbara Gordon, Batman, Beast, Bentley-23, Black Panther, Blue Marvel, Bow, Brainiac 5, Byllemura Ruby-Eye, Damian Wayne, Dick Grayson, Doctor Eggman, Dr. Bunsen Honeydew, Hank Pym, Hulk, Iron Man, Ironheart, James Moriarty, Linhardt, Maru, Mr. Fantastic, Mycroft Holmes, Nadia Van Dyne, Peridot, Sherlock Holmes, Ted Kord, Tim Drake, Yang Xiao Long
Genocidal; Chara, Flowey, Frisk (Genocide Route), Ultron
Gentle Giant; Luisa Madrigal, Raphael, Tong
Gentleman; John Watson, Spy
German; Nightcrawler
Glaive; Eldon Spark Turen
Glasses; Albus Dumbledore, Alphys, Atticus Finch, Augustin Madrigal, Bayonetta, Colin Frazer, Connie Maheswaran, Doctor Eggman, Gordon Freeman, Grunkle Stan, Harry Potter, Harvey, Ignatz, Mirabel Madrigal, Sniper, Stanford Pines, Zach Wiebe
Gnome; Byllemura Ruby-Eye
Goblin; Squee
God Slayer; Kratos, Percy Jackson
God(dess); Apollo, Athena, Calypso, Kratos, Loki, Sothis, Thor
Gold; C3PO
Golden Age; Alan Scott, Bucky Barnes, Captain America, Hippolyta, Jay Garrick, Kal-L
Golden Deer (Fire Emblem); Byleth, Claude, Hilda, Ignatz, Leonie, Lorenz, Lysithea, Marianne, Raphael
Golem; the Icon of Sin
Gossip; Dolores Madrigal
Government; Amanda Waller, Annie Montrose, Bruce Ng, Garrik Doriana, Mycroft Holmes
Grandparent; Abuela Alma Madrigal|Mirabel Madrigal, Abuela Alma Madrigal|Luisa Madrigal, Abuela Alma Madrigal|Isabela Madrigal, Abuela Alma Madrigal|Dolores Abuela Alma Madrigal, Abuela Alma Madrigal|Camilo Madrigal, Gran'ma Ben|Thorn Harvestar, Iris West|Bart Allen
Greek; Annabeth Chase, Athena, Kratos, Leo Valdez, Percy Jackson, Piper McLean
Green; Alan Scott, Amadeus Cho, Anole, Beast Boy, Boba Fett, Brainiac 5, Drax the Destroyer, Gamora, Green Arrow, Groot, Hal Jordan, Harrison Truscott (Evil), Harrison Truscott, Hulk, Jabba the Hutt, John Stewart, Mantis, Miss Martian, Peridot, Yekkon Shmekkon
Green Beret; Alfred Pennyworth
Green Lantern; Alan Scott, Hal Jordan, John Stewart
Grumpy; Kuiil, Shane
Gryffindor; Albus Dumbledore, Bill Weasley, Ginny Weasley, Harry Potter, Hermione Granger, Ron Weasley
Guardian; Amethyst (Steven Universe), Blaze the Cat, Garnet, Pearl, Raya, Rosalina, Sans, Smaug, Steven Universe, Te Ka
Guardians of the Galaxy; Adam Warlock, Agent Venom, Drax the Destroyer, Gamora, Groot, Rocket Raccoon, Star-Lord
Guardsman; Fedora Turthin, Papyrus, Sans, Undyne
Gun-Arm; Barret Wallace
Guns; Black Widow, Bucky Barnes, Jason Todd, Rocket Raccoon, Star-Lord
Gym Leader; Blue, Brock, Misty
Gymnast; Carmen Cortez, Juni Cortez
Hacker; Alan Bradley, Alyx, Barbara Gordon, Sombra
Hag; Wicked Witch of the West
Half-Elf; Arwen, Glynnric Manassnass, Kareem Par-Al
Hallucinations; Pyro
Hammer; Arthas Menethil, Ronan the Accuser, Thor
Hapless Assistant; Beaker
Harry Potter Main Trio; Harry Potter, Hermione Granger, Ron Weasley
Healing; Julieta Madrigal, Steven Universe
Heat Immunity; Bismuth, Smaug
Heavily Armored; Alois, Fedora Turthin
Heavy Artillery; Rocket Raccoon
Heiress; Asami Sato, Weiss Schnee
Heiress to Empire; Edelgard
Hermit; Elliot
Heterochromia; Catra
Hitman; Anton Chigurh, Sniper, Spy
Hive Mind; Omega (Edge of Tomorrow)
Hoarder; General Grievous, Smaug, Tamatoa
Hobbit/Halfling; Bilbo Baggins
Hobo; Extortionist Hobo
Holy Powers; Flayn, Linhardt, Mercedes, Reithen Keiros, Rhea, Seteth
Honorable; Akuma, Ferdinand, Ingrid, Lorenz
Horror Protagonist; Alan Wake, Alice Johnson, Ashley Brown
House Leaders (Fire Emblem); Claude, Dimitri, Edelgard
Hulks; Amadeus Cho, Hulk
Hybrid; Alex Fierro, Annabeth Chase, Arwen, Atreus, Blitzen, Flayn, Frank Zhang, Glynnric Manassnass, Hazel Levesque, Jason Grace, Kareem Par-Al, Kratos, Leo Valdez, Magnus Chase, Mallory Keen, Maui, Percy Jackson, Piper McLean, Rhea, Samirah al-Abbas, Seteth, Steven Universe, Thomas Jefferson Jr.
Hydra; Baron Zemo
Hypnotic Beauty; Fleur Delacour, Isabela Madrigal
IRL; Colin Frazer, Ethan Chou, Harrison Truscott, Jono Jenkins, Sebastian Polge, Vikram Kommareddi, Zach Wiebe
Ice Powers; Aang, Elsa, Katara, Korra, Sapphire, Weiss Schnee
Iconic; Barry Allen, Batman, Bilbo Baggins, Boba Fett, Captain America, Cyclops, Dorothy Gale, Dracula, Glinda the Good Witch, Harry Potter, Iron Man, Jabba the Hutt, James Moriarty, Leia Organa (Old), Leia Organa, Luke Skywalker, Mario, Sherlock Holmes, Smaug, Steven Universe, Superman, Thanos, The Thing, Wicked Witch of the West, Wizard of Oz, Wolverine
Idiot; Bill Kerman, Blue Stupid Rat Creature, Brown Stupid Rat Creature, Jar Jar Binks, Papyrus, Scarecrow (Oz), Smiley Bone
Imaginative; Alan Wake, Austin
Immortal; Amethyst (Steven Universe), Atomic Robo, Flayn, Garnet, Pearl, Rhea, Seteth, Seth, Smaug, Sothis, Steven Universe
Infinity Watch; Adam Warlock
Inhuman; Ms. Marvel
Innocent; Frisk, Laurie Strode, Papyrus, Steven Universe
Innocuous Appearance; Flowey
Insane; Bill Cipher, Culverton Smith, Demoman, Extortionist Hobo, Michael Myers, Pyro, Soldier
Insect-Themed; Cassie Lang, Hank Pym, Hope van Dyne, Janet van Dyne, Miles Morales, Nadia Van Dyne, Scott Lang, Spider-Man
Insects; Barry B. Benson
Inspector; Inspector Lestrade
Inspiration; Captain George Pollard Jr.|Captain Ahab
Interdimensional; America Chavez, Blaze the Cat, Blink, Jori-En Blurred, Pariah, Squee
Interpol; Chun-Li
Introvert; Alphys, Amazi-Girl, Amy Cahill, Bernadetta, Lapis Lazuli, Linhardt, Marianne
Invader; Omega (Edge of Tomorrow)
